zip,neighborhood,borough
10001,Chelsea/Clinton,Manhattan
10002,Lower East Side,Manhattan
10003,Lower East Side,Manhattan
10004,Lower Manhattan,Manhattan
10005,Lower Manhattan,Manhattan
10006,Lower Manhattan,Manhattan
10007,Lower Manhattan,Manhattan
10009,Lower East Side,Manhattan
10010,Gramercy Park/Murray Hill,Manhattan
10011,Chelsea/Clinton,Manhattan
10012,Greenwich Village/Soho,Manhattan
10013,Greenwich Village/Soho,Manhattan
10014,Greenwich Village/Soho,Manhattan
10016,Gramercy Park/Murray Hill,Manhattan
10017,Gramercy Park/Murray Hill,Manhattan
10018,Chelsea/Clinton,Manhattan
10019,Chelsea/Clinton,Manhattan
10020,Chelsea/Clinton,Manhattan
10021,Upper East Side,Manhattan
10022,Gramercy Park/Murray Hill,Manhattan
10023,Upper West Side,Manhattan
10024,Upper West Side,Manhattan
10025,Upper West Side,Manhattan
10026,Central Harlem,Manhattan
10027,Central Harlem,Manhattan
10028,Upper East Side,Manhattan
10029,East Harlem,Manhattan
10030,Central Harlem,Manhattan
10031,Inwood/Washington Heights,Manhattan
10032,Inwood/Washington Heights,Manhattan
10033,Inwood/Washington Heights,Manhattan
10034,Inwood/Washington Heights,Manhattan
10035,East Harlem,Manhattan
10036,Chelsea/Clinton,Manhattan
10037,Central Harlem,Manhattan
10038,Lower Manhattan,Manhattan
10039,Central Harlem,Manhattan
10040,Inwood/Washington Heights,Manhattan
10044,Upper East Side,Manhattan
10065,Upper East Side,Manhattan
10075,Upper East Side,Manhattan
10128,Upper East Side,Manhattan
10278,Lower Manhattan,Manhattan
10280,Lower Manhattan,Manhattan
10282,Lower Manhattan,Manhattan
10301,Stapleton/St. George,Staten Island
10302,Port Richmond,Staten Island
10303,Port Richmond,Staten Island
10304,Stapleton/St. George,Staten Island
10305,Stapleton/St. George,Staten Island
10306,South Shore,Staten Island
10307,South Shore,Staten Island
10310,Port Richmond,Staten Island
10312,South Shore,Staten Island
10314,Mid-Island,Staten Island
10451,High Bridge/Morrisania,Bronx
10452,High Bridge/Morrisania,Bronx
10453,Central Bronx,Bronx
10454,Hunts Point/Mott Haven,Bronx
10455,Hunts Point/Mott Haven,Bronx
10456,High Bridge/Morrisania,Bronx
10457,Central Bronx,Bronx
10458,Bronx Park/Fordham,Bronx
10459,Hunts Point/Mott Haven,Bronx
10460,Central Bronx,Bronx
10461,Southeast Bronx,Bronx
10462,Southeast Bronx,Bronx
10463,Kingsbridge/Riverdale,Bronx
10464,Southeast Bronx,Bronx
